,Surface Latitude,Surface Longitude,API,Lat Len - Horz Disp,Lat Len - Gross Perf,Year,Depth Total Maximum,Perforation Upper,Perforation Lower,FName_BRISCOE RANCH,FName_BRISCOE RANCH D1,FName_CAGE RANCH,FName_CHITTIM,FName_CYPRESS LANDING,FName_DE WITT,FName_DILWORTH,FName_DOERING RANCH,FName_EAGLEVILLE,FName_GIDDINGS,FName_HAWKVILLE,FName_HAWKVILLE D1,FName_PEARSALL,FName_PILGRIM,FName_PLEASANTON,FName_RED HAWK DIST 1,FName_SACATOSA,FName_SMILEY,FName_SOUTHERN BAY,FName_SUGARKANE,FName_UNNAMED,FName_WILDCAT,PrType_BUXT,PrType_CER,PrType_RCSD,PrType_SAND,PrType_SANDCER,PrType_SANDCERRCCR,PrType_SANDCRRCSD,PrType_SANDRCCR,PrType_SANDRCSD,PrType_SDRCSDCERRCR,FlType_A,FlType_F,FlType_FLUD,FlType_FRAC,FlType_GAFR,FlType_GEL,FlType_KCL,FlType_SLKW,FlType_U,FlType_W,FlType_X-LINKGEL,Proppant Amount,Fluid Amount,Proppant div Fluid,y_true,y_pred,dm,Trt Proppant Type,Trt Fluid Type,Trt N Frac Stages,Date Completion,Liquid,Operator
42255318730000,29.096786111,-97.787602778,42255318730000,4904.0,4405.0,2011.0,15220.0,10718.0,15123.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4480000.0,3026268.0,1.4803712030791718,0.180042907654751,0.18051864206790924,0.002642339092137416,SAND,FLUD,1.0,2011-07-20,76339.0,EOG RESOURCES INC
42255318740000,29.086622222,-97.828077778,42255318740000,4670.0,4128.0,2011.0,14670.0,10432.0,14560.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6232000.0,3207708.0,1.942820231766732,0.18786094297546987,0.1910749524831772,0.01710844977567787,SAND,FLUD,1.0,2011-05-15,74645.0,EOG RESOURCES INC
42255318750000,28.853586111,-98.10074166700001,42255318750000,6754.0,5827.0,2011.0,17210.0,10645.0,16472.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5006000.0,3490032.0,1.4343708023307522,0.22588809862449485,0.12150423228740692,0.4621043205583419,SAND,FLUD,1.0,2011-03-20,126696.0,EOG RESOURCES INC
42255318760000,28.832041944,-97.98901111100001,42255318760000,6770.0,5998.0,2011.0,18220.0,12023.0,18021.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6001000.0,4777080.0,1.256206720423355,0.12829374540371905,0.22318269312381744,0.739622554642073,SAND,FLUD,20.0,2011-06-11,74069.0,MARATHON OIL EF LLC
42255318790000,29.101608333,-97.778794444,42255318790000,6138.0,5540.0,2011.0,16534.0,10898.0,16438.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5862000.0,4045860.0,1.4488884934229065,0.15782528658325504,0.18785542249679565,0.19027455335998586,SAND,FLUD,1.0,2011-06-20,84161.0,EOG RESOURCES INC
42255318810000,29.084469444,-97.832738889,42255318810000,4095.0,3324.0,2011.0,14036.0,10577.0,13901.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3842000.0,2297526.0,1.6722335242343285,0.1274407793877652,0.15709078311920166,0.2326571123770368,SAND,FLUD,1.0,2011-05-16,40775.0,EOG RESOURCES INC
42255318860000,28.858669444,-98.079755278,42255318860000,5877.0,4866.0,2011.0,16015.0,10992.0,15858.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4772000.0,3517626.0,1.3565967501945917,0.1906173403374829,0.1347411721944809,0.2931326606701927,SAND,FLUD,1.0,2011-04-28,89281.0,EOG RESOURCES INC
42255318870000,28.859258333000003,-98.0671,42255318870000,6607.0,6038.0,2011.0,17305.0,11156.0,17194.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5978000.0,4787664.0,1.2486256345474536,0.1629038809004161,0.1536494344472885,0.05680924482569495,SAND,FLUD,1.0,2011-05-14,94678.0,EOG RESOURCES INC
42255318900000,28.818512222,-98.00985638899999,42255318900000,4699.0,3912.0,2011.0,16159.0,11826.0,15738.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3548000.0,6688500.0,0.5304627345443672,0.2617894949155392,0.1888059079647064,0.2787873018907017,SAND,W,1.0,2011-06-16,98577.0,MARATHON OIL EF LLC
42255318920000,29.098533333000002,-97.786969444,42255318920000,5171.0,4599.0,2011.0,15532.0,10839.0,15438.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4776000.0,3123162.0,1.529219425697418,0.21879785897470266,0.17160063982009888,0.21571152193066348,SAND,FLUD,1.0,2011-07-23,96857.0,EOG RESOURCES INC
