borehole,id,CALI,DEPTH,DTCO,DTSM,RHOB,SGR,VOL_ILLITE
F102,3901,8.6013,11132.5,74.5212,120.0,2.5868,29.8486,5e-06
F102,3902,8.5791,11133.0,74.6182,114.4,2.5734,29.3593,5e-06
F102,3903,8.5568,11133.5,74.7151,114.4,2.5601,29.1814,5e-06
F102,3904,8.5346,11134.0,74.8121,114.4,2.5468,29.0034,5e-06
F102,3905,8.5679,11134.5,74.9091,114.4,2.5334,28.8255,5e-06
F102,3906,8.6013,11135.0,75.0061,114.4,2.5201,28.6476,5e-06
F102,3907,8.6346,11135.5,75.10300000000002,114.4,2.5168,28.4696,5e-06
F102,3908,8.668,11136.0,75.2,116.8,2.5134,28.2917,5e-06
F102,3909,8.6346,11136.5,75.2,116.8,2.5068,28.1138,5e-06
F102,3910,8.6013,11137.0,75.2,116.8,2.5001,27.9358,5e-06
F102,3911,8.5568,11137.5,75.2,116.8,2.4934,27.7579,5e-06
F102,3912,8.5124,11138.0,75.2,116.8,2.4868,27.5799,5e-06
F102,3913,8.4679,11138.5,75.2,116.8,2.4668,27.402,5e-06
F102,3914,8.5568,11139.0,66.4,121.6,2.4468,29.4204,5e-06
F102,3915,8.6458,11139.5,66.4,121.6,2.4068,31.4388,5e-06
F102,3916,8.7347,11140.0,66.4,121.6,2.3668,32.2575,5e-06
F102,3917,8.8236,11140.5,66.4,121.6,2.3268,33.0762,5e-06
F102,3918,8.9126,11141.0,66.4,121.6,2.2868,33.8949,5e-06
F102,3919,9.0015,11141.5,66.4,121.6,2.2868,34.7136,5e-06
F102,3920,8.9793,11142.0,66.4,121.6,2.2974,35.5323,5e-06
F102,3921,8.957,11142.5,69.6,126.4,2.3081,36.3511,5e-06
F102,3922,8.9348,11143.0,69.6,126.4,2.3188,36.0236,5e-06
F102,3923,8.9348,11143.5,69.6,126.4,2.3294,35.6961,5e-06
F102,3924,8.9348,11144.0,69.6,126.4,2.3401,35.3686,5e-06
F102,3925,8.9348,11144.5,69.6,126.4,2.3401,35.0411,5e-06
F102,3926,8.8903,11145.0,69.6,126.4,2.3441,34.7136,5e-06
F102,3927,8.8459,11145.5,73.6,138.4,2.3481,34.3861,5e-06
F102,3928,8.8014,11146.0,73.6,138.4,2.3521,34.2224,5e-06
F102,3929,8.7569,11146.5,73.6,138.4,2.3561,34.0587,5e-06
F102,3930,8.7125,11147.0,73.6,138.4,2.3601,33.8949,5e-06
F102,3931,8.668,11147.5,73.6,138.4,2.3601,33.7312,5e-06
F102,3932,8.6235,11148.0,73.6,138.4,2.3554,33.5674,5e-06
F102,3933,8.5791,11148.5,65.6,137.6,2.3508,33.4037,5e-06
F102,3934,8.5346,11149.0,65.6,137.6,2.3461,33.3712,5e-06
F102,3935,8.6235,11149.5,65.6,137.6,2.3414,33.3388,5e-06
F102,3936,8.7125,11150.0,65.6,137.6,2.3368,33.3063,5e-06
F102,3937,8.8014,11150.5,65.6,137.6,2.3368,33.2739,5e-06
F102,3938,8.7792,11151.0,65.6,137.6,2.3368,33.4696,5e-06
F102,3939,8.7569,11151.5,76.0,141.6,2.3368,33.6653,5e-06
F102,3940,8.7347,11152.0,76.0,141.6,2.3368,33.8611,5e-06
F102,3941,8.7125,11152.5,76.0,141.6,2.3368,34.0568,5e-06
F102,3942,8.6902,11153.0,76.0,141.6,2.3368,34.2525,5e-06
F102,3943,8.668,11153.5,76.0,141.6,2.3368,34.5787,5e-06
F102,3944,8.6235,11154.0,76.0,141.6,2.3441,34.9049,0.01124
F102,3945,8.5791,11154.5,76.0,141.6,2.3514,35.2312,0.027743
